"darkolivegreen"	"yellowgreen"	"purple"	"brown"	"ivory"	"darkturquoise"	"darkgreen"	"cyan"	"floralwhite"	"darkred"	"mediumpurple3"	"darkorange"	"violet"	"steelblue"	"red"	"sienna3"	"plum1"	"midnightblue"	"skyblue"	"lightsteelblue1"	"lightcyan"	"orange"	"black"	"white"	"lightcyan1"	"paleturquoise"	"skyblue3"	"darkorange2"
"Cortex_Endothelial_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.94964152626774e-57	1	7.28631293893332e-05
"Cortex_GabaPV_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00302997086183801	1	1	1	1
"Cortex_GabaRelnCalb_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_GabaVIPReln_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Microglia_Neuroexpresso"	1	1	2.21753153128496e-63	1	1	1	1	1	1	1	1	1	1	1	1	0.00220357130786213	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_MicrogliaActivation_Neuroexpresso"	1	1	2.7043215707825e-29	1	1	1	1	1	1	1	1	1	1	1	1	0.00393803783716893	1	1	1	1	1	1	1	1	1	0.00985473913738561	1	1
"Cortex_MicrogliaDeactivation_Neuroexpresso"	1	1	2.66021133978338e-75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	8.08778114393191e-15	1	1	1	1	1	1	1	1	1.53999684733474e-30	1	1	1	1	1	1	1	1	1	1
"Cortex_OligoPrecursors_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Cortex_Pyramidal_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0109671336308132	1	1	1	1	1	1	1	1
"Cytotoxiccells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000149345966307511	1	1	1	1	1	1	0.00233599714589132	1
"D_NEuronCom5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"D_NEuronCom7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DAMANIS_MICROGLIA"	1	1	4.49185680644687e-17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_ASTROCYES"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.11756397535325e-16	1	1	1	1	1	1	1
"DARMANIS_ENDOTHELIAL"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.97760914274257e-16	1	1
"DARMANIS_FETAL1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_FETAL2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_MIXTURENEUASTRO"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_MIXTURENEUOLIGOPC"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_NEUROND"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"DARMANIS_OLIGO"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.94693299203445e-22	1	1	1	1	1	1	1	1	1	1
"DARMANIS_OPCS"	2.32703918567486e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Dopaminergic_Neuron_SN"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Dopaminergic_Neuron_VTA"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Dopaminergic_Neuron"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.84425154267056e-05	1	0.0130565987383419	1	1	1	1
"Dopaminergic"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.84425154267056e-05	1	0.0130565987383419	1	1	1	1
"DopaminergicNeuron"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Endothelial"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.39176348342421e-37	1	0.00285418514426986
"Eosinophils"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ependymal"	1	1	1	1	1	1	1	3.76675769154491e-87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.71871042075172e-05	1	1	1	1	1	1	1	1	1	1	1
"Ex2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0213277898121309	1
"Ex3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Ex7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0023486919463088	1
"Ex8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"GABASST_HIPPD_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	0.0357238325829501	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hippocampus_Astrocyte_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hippocampus_DentateGranule_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hippocampus_GabaSSTRein_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	0.0357238325829501	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hippocampus_MicrogliaActivation_Neuroexpresso"	1	1	2.41329527368276e-23	1	1	1	1	1	1	1	1	1	1	1	1	2.85790798646819e-06	1	1	1	1	1	1	1	1	1	0.0062369961311449	1	0.000105537397349409
"Hippocampus_MicrogliaDeactivation_Neuroexpresso"	1	1	1.08641109920096e-57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hippocampus_Oligo_Neuroexpresso"	1	1	1	1	1	1	1	1	0.00178407689242619	1	1	1	1	1	1	1	1	2.17153956403176e-20	1	1	1	1	1	1	1	1	1	1
"Hippocampus_Pyramidal_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Hyppocampus_Microglia_Neuroexpresso"	1	1	1.57122579463331e-46	1	1	1	1	1	1	1	1	1	1	1	1	0.00440291798995366	1	1	1	1	1	1	1	1	1	0.000149496028414118	1	1
"iDC"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00199216528348893	1	1	1	1
"In6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"In8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Interneuron"	3.36024134371316e-08	1	1	1	1	1	1.48650026473687e-09	1	1	1	1	7.96789602219974e-09	1	1	1	1	1	1	1	1	1	1	1	2.20724757925464e-06	1	1	1	1
"Macrophages"	1	1	0.0101937407073574	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Mastcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Microglia"	1	1	1.31129504748289e-115	1	1	1	1	1	1	1	1	1	0.00450295842718592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Mural"	1	1	1	1	6.33966856142433e-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"NaturalKillers"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpress0_Cortex_Layer.2.3.Pyra"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_Cortex_Laye.6aPyra"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_Cortex_Layer4Pyra"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_Endothelial"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_GabaPV"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_GabaRelnCalb"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_GabaVIPReln"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_Layer6bPyra"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_Pyramidal_Glt_25d2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_Pyramidal_S100a10"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuroexpresso_CortexD_PyramidalCorticoThalam"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Dopaminergic_SNigra"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Dopaminergic_VTA"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Dopaminergic"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Interneuron"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Interneuton"	3.36024134371316e-08	1	1	1	1	1	1.48650026473687e-09	1	1	1	1	7.96789602219974e-09	1	1	1	1	1	1	1	1	1	1	1	2.20724757925464e-06	1	1	1	1
"Neuron_Pyramidal_CA1"	1	1	1	1	1	1	2.58984385740358e-14	1	1	1	1	1	1	1	1	1	0.00239348021597567	1	1	1	1	1	1	1	1	1	1	1
"Neuron_Pyramidal_S1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00155406107911536	1	1	0.00422371888314556	1	1	1	1	1	1	1.16622676648096e-08	1
"Neuron.Ex1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.Ex8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In3"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In4"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In5"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In6"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In7"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neuron.In8"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Neutrophils"	1	1	0.0168300468823385	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Oligodendrocyte"	1	1	1	1	1	1	1	1	1.75720065905429e-11	1	1	1	1	1	1	1	1	1.93302334776646e-36	1	1	1	1	1	1	1	1	1	1
"Pyramidal_CA1"	1	1	1	1	1	1	2.58984385740358e-14	1	1	1	1	1	1	1	1	1	0.00239348021597567	1	1	1	1	1	1	1	1	1	1	1
"Pyramidal_S1"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00155406107911536	1	1	0.00422371888314556	1	1	1	1	1	1	1.16622676648096e-08	1
"PyramidalThy_HIPPD_Neuroexpresso"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"S1_Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00155406107911536	1	1	0.00422371888314556	1	1	1	1	1	1	1.16622676648096e-08	1
"S1.Pyramidal"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00155406107911536	1	1	0.00422371888314556	1	1	1	1	1	1	1.16622676648096e-08	1
"SN_Dopaminergic"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SN_DopaminergicNeuron"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Tcells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Tcm"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Tem"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Tfh"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Th1cells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Th2cells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Thelpercells"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"VTA_Dopaminergic"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"VTA_DopaminergicNeuron"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
